,SampleID,SampleID,SampleIDnoRep,SeqID,StationCode,SampleDate,Replicate,SampleType,D_ValveCount,S_EntityCount,S_Biovolume,D_NumberTaxa,S_NumberTaxa,H_NumberTaxa,UnrecognizedTaxa,D_ASCI,S_ASCI,H_ASCI,D_cnt.spp.most.tol_pct_att,D_cnt.spp.most.tol_pred,D_cnt.spp.most.tol_raw,D_cnt.spp.most.tol_scr,D_EpiRho.richness_pct_att,D_EpiRho.richness_pred,D_EpiRho.richness_raw,D_EpiRho.richness_scr,D_prop.spp.IndicatorClass_TN_low_pct_att,D_prop.spp.IndicatorClass_TN_low_pred,D_prop.spp.IndicatorClass_TN_low_raw,D_prop.spp.IndicatorClass_TN_low_scr,D_prop.spp.Planktonic_pct_att,D_prop.spp.Planktonic_pred,D_prop.spp.Planktonic_raw,D_prop.spp.Planktonic_scr,D_prop.spp.Trophic.E_pct_att,D_prop.spp.Trophic.E_pred,D_prop.spp.Trophic.E_raw,D_prop.spp.Trophic.E_scr,D_Salinity.BF.richness_pct_att,D_Salinity.BF.richness_pred,D_Salinity.BF.richness_raw,D_Salinity.BF.richness_scr,S_prop.spp.IndicatorClass_DOC_high_pct_att,S_prop.spp.IndicatorClass_DOC_high_raw,S_prop.spp.IndicatorClass_DOC_high_scr,S_prop.spp.IndicatorClass_NonRef_pct_att,S_prop.spp.IndicatorClass_NonRef_raw,S_prop.spp.IndicatorClass_NonRef_scr,S_prop.spp.IndicatorClass_TP_high_pct_att,S_prop.spp.IndicatorClass_TP_high_raw,S_prop.spp.IndicatorClass_TP_high_scr,S_prop.spp.ZHR_pct_att,S_prop.spp.ZHR_raw,S_prop.spp.ZHR_scr,H_cnt.spp.IndicatorClass_TP_high_pct_att,H_cnt.spp.IndicatorClass_TP_high_pred,H_cnt.spp.IndicatorClass_TP_high_raw,H_cnt.spp.IndicatorClass_TP_high_scr,H_cnt.spp.most.tol_pct_att,H_cnt.spp.most.tol_pred,H_cnt.spp.most.tol_raw,H_cnt.spp.most.tol_scr,H_EpiRho.richness_pct_att,H_EpiRho.richness_pred,H_EpiRho.richness_raw,H_EpiRho.richness_scr,H_OxyRed.DO_30.richness_pct_att,H_OxyRed.DO_30.richness_pred,H_OxyRed.DO_30.richness_raw,H_OxyRed.DO_30.richness_scr,H_prop.spp.Planktonic_pct_att,H_prop.spp.Planktonic_pred,H_prop.spp.Planktonic_raw,H_prop.spp.Planktonic_scr,H_prop.spp.Trophic.E_pct_att,H_prop.spp.Trophic.E_pred,H_prop.spp.Trophic.E_raw,H_prop.spp.Trophic.E_scr,H_prop.spp.ZHR_pct_att,H_prop.spp.ZHR_raw,H_prop.spp.ZHR_scr,H_Salinity.BF.richness_pct_att,H_Salinity.BF.richness_pred,H_Salinity.BF.richness_raw,H_Salinity.BF.richness_scr,Comments,version_number
265,907M23327_6/8/16_1,907M23327_06/08/16_1,907M23327_6/8/16,X251,907M23327,6/8/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,155,0,27,30,57,NA,0.543942755,0.921397442,0.607219007,0.538461538,5.341185091,9,0.371915308,1,0.728266667,0,0.590467475,0.615384615,0.267279629,0.0625,0.290287853,0.923076923,0.010994762,0.041666667,0.497330635,0.653846154,0.512510039,0.764705882,0.094450765,0.692307692,3.248497119,5,0.612121208,0.733333333,0.227272727,0.830464316,0.733333333,0.181818182,0.855371901,0.733333333,0.136363636,0.864051203,1,0.033333333,0.066666667,0.696428571,13.68275714,19,0.496499774,0.267857143,5.921582312,10,0.42400224,0.982142857,0.7197,0,0.591325472,0.285714286,3.411933333,4,0.744544123,0.428571429,0.012183621,0.041666667,0.50947181,0.303571429,0.519841712,0.764705882,0.121602242,0.535714286,0.033333333,0.066666667,0.321428571,3.304738618,5,0.595112791,,2.5.5
90,404M07358_6/16/16_1,404M07358_06/16/16_1,404M07358_6/16/16,X254,404M07358,6/16/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,140,0,22,37,59,NA,0.70929176,0.829626163,0.625987075,0.619047619,5.340401757,10,0.279776132,1,0.838833333,2,1,0.666666667,0.178862265,0.142857143,0.649882558,1,0.020966476,0.047619048,0.538563993,0.714285714,0.552923705,0.8,0.1077057,0.80952381,3.393644612,5,0.627399804,0.864864865,0.375,0.671699079,0.864864865,0.25,0.784090909,0.864864865,0.1875,0.792046936,1,0.054054054,0.108108108,0.775862069,11.88203333,17,0.507669429,0.293103448,6.097863866,14,0.121886397,0.965517241,0.8719,2,1,0.24137931,1.903933333,3,0.662131064,0.362068966,0.017748069,0.047619048,0.505492945,0.25862069,0.565234893,0.8,0.147378071,0.637931034,0.054054054,0.108108108,0.293103448,3.415022897,5,0.606259388,,2.5.5
276,909SWCASR_3/21/16_1,909SWCASR_03/21/16_1,909SWCASR_3/21/16,X260,909SWCASR,3/21/16,1,"Integrated, Microalgae, Epiphyte, Macroalgae",614,166,0,31,23,54,NA,1.054893518,0.79770973,1.070250637,0.35483871,5.195830521,5,0.726801168,1,0.946366667,0,0.542642583,0.483870968,0.360767339,0.266666667,0.526102891,0.935483871,0.015266379,0,0.968600255,0.64516129,0.525871497,0.35,1,0.677419355,4.153033602,2,1,0.608695652,0.357142857,0.690890481,0.608695652,0.285714286,0.746753247,0.608695652,0.285714286,0.653753027,1,0.086956522,0.173913043,0.537037037,20.60927143,15,1,0.259259259,5.285019668,7,0.610739805,0.981481481,0.818433333,0,0.568923686,0.351851852,2.787842857,2,0.967758517,0.537037037,0.01353376,0,0.950677534,0.37037037,0.52929049,0.35,1,0.425925926,0.086956522,0.173913043,0.388888889,4.148973135,2,0.983655305,,2.5.5
229,801STW258_6/9/16_1,801STW258_06/09/16_1,801STW258_6/9/16,X267,801STW258,6/9/16,1,"Epiphyte, Integrated, Microalgae, Macroalgae",602,74,0,65,15,80,NA,0.341859991,0.847287394,0.285224238,0.265625,5.474155923,12,0.107956371,1,2.766866667,0,0.143443977,0.53125,0.397080396,0.117647059,0.131229009,0.9375,0.011243648,0.016666667,0.756352788,0.578125,0.597455535,0.72972973,0.404937869,0.609375,3.397203561,11,0,0.6,0.333333333,0.716479017,0.6,0.222222222,0.813131313,0.6,0.222222222,0.74315515,1,0.066666667,0.133333333,0.53164557,17.0096,32,0,0.215189873,4.985022936,12,0.191981728,1,2.666966667,0,0.149506586,0.417721519,2.455733333,8,0,0.759493671,0.012159079,0.016666667,0.765634841,0.46835443,0.592766851,0.72972973,0.396998585,0.189873418,0.066666667,0.133333333,0.493670886,3.710499484,11,0.029694702,,2.5.5
212,801M15414_6/15/16_1,801M15414_06/15/16_1,801M15414_6/15/16,X279,801M15414,6/15/16,1,"Integrated, Microalgae, Epiphyte, Macroalgae",600,96,0,31,21,52,NA,1.001133866,0.998839182,1.102479164,0.419354839,5.587516746,3,0.94699668,1,1.743533333,1,0.587119806,0.548387097,0.372703908,0.176470588,0.30849681,0.967741935,0.005677955,0,0.870234957,0.677419355,0.583353608,0.523809524,0.90157132,0.677419355,3.049254812,2,0.906936112,0.619047619,0.230769231,0.826706559,0.619047619,0.153846154,0.884615385,0.619047619,0.153846154,0.83943436,1,0.142857143,0.285714286,0.519230769,19.18023333,12,1,0.25,4.949733529,3,0.900292536,1,1.6963,1,0.59663474,0.365384615,2.744066667,0,1,0.576923077,0.008490321,0,0.898949049,0.403846154,0.58127491,0.523809524,0.893237625,0.403846154,0.142857143,0.285714286,0.403846154,3.016721917,2,0.869216986,,2.5.5
205,801CYC398_6/9/16_1,801CYC398_06/09/16_1,801CYC398_6/9/16,X282,801CYC398,6/9/16,1,"Integrated, Microalgae",613,0,0,41,20,61,NA,0.460439291,0.802654557,0.476132931,0.365853659,5.4023165,8,0.469610554,0.975609756,1.643633333,0,0.389746191,0.585365854,0.397091534,0.166666667,0.23564754,0.951219512,0.011769588,0.051282051,0.406637513,0.731707317,0.441937461,0.566666667,0.424472473,0.756097561,1.89002885,8,0.153337714,0.65,0.307692308,0.744035903,0.65,0.230769231,0.804195804,0.65,0.230769231,0.731120249,1,0,0,0.573770492,11.7074,22,0.217625407,0.262295082,4.970632334,9,0.427877732,0.950819672,1.795333333,0,0.347273063,0.459016393,2.694704762,3,0.790418254,0.639344262,0.012416343,0.051282051,0.413237691,0.491803279,0.435802106,0.566666667,0.412563315,0.327868852,0,0,0.508196721,2.138502186,8,0.174025064,,2.5.5
209,801M15378_6/16/16_1,801M15378_06/16/16_1,801M15378_6/16/16,X285,801M15378,6/16/16,1,"Integrated, Microalgae, Epiphyte, Macroalgae",600,63,0,14,14,28,NA,1.099270424,0.958792405,1.108524628,0.285714286,4.46507904,1,1,1,0.828133333,0,0.568568747,0.642857143,0.45647522,0.444444444,0.700962833,1,0.00403915,0,0.85342286,0.642857143,0.410258556,0.333333333,0.946572531,0.714285714,1.936207435,1,0.895036456,0.785714286,0.272727273,0.781613474,0.785714286,0.181818182,0.855371901,0.785714286,0.181818182,0.80004741,1,0.142857143,0.285714286,0.678571429,8.480166667,6,0.933553353,0.178571429,5.316294506,1,1,1,0.745,0,0.585585109,0.214285714,1.497866667,0,1,0.5,0.004471532,0,0.857729984,0.321428571,0.411156322,0.333333333,0.945196309,0.5,0.142857143,0.285714286,0.357142857,2.040321379,1,0.871602219,,2.5.5
222,801RB8598_6/14/16_1,801RB8598_06/14/16_1,801RB8598_6/14/16,X288,801RB8598,6/14/16,1,"Integrated, Microalgae",640,0,0,5,19,24,NA,0.834851481,0.979663725,0.90981169,0.6,5.519115145,2,1,1,2.429466667,0,0.217428931,0.6,0.402132143,0.333333333,0.580011601,1,0.005087266,0,0.864175228,0.8,0.503334629,0.75,0.108769618,0.8,3.206731913,1,1,0.894736842,0.294117647,0.758624842,0.894736842,0.117647059,0.922459893,0.894736842,0.117647059,0.890405706,1,0.105263158,0.210526316,0.833333333,18.49786667,4,1,0.125,4.949733529,2,0.979303542,0.958333333,2.393633333,0,0.211523684,0.166666667,1.679366667,1,0.950160378,0.208333333,0.004683824,0,0.859907371,0.166666667,0.499208145,0.75,0.106473019,0.791666667,0.105263158,0.210526316,0.166666667,3.39457151,1,1,,2.5.5
213,801M15424_6/14/16_1,801M15424_06/14/16_1,801M15424_6/14/16,X291,801M15424,6/14/16,1,"Epiphyte, Integrated, Macroalgae, Microalgae",600,14,0,16,28,44,NA,0.79520009,0.755034038,0.74194072,0.625,5.387412654,8,0.468238401,1,3.3591,0,0.013579258,0.625,0.404435628,0.2,0.291020789,0.9375,0.007883788,0,0.89286406,0.75,0.577125791,0.5,0.947091817,0.8125,3.729268184,2,0.978516055,0.892857143,0.44,0.601842375,0.892857143,0.28,0.752727273,0.892857143,0.24,0.718122555,1,0.035714286,0.071428571,0.818181818,14.406,14,0.817293977,0.318181818,6.168984333,12,0.28552771,0.977272727,3.143966667,0,0.041279186,0.272727273,1.389166667,4,0.416389816,0.340909091,0.007204656,0,0.885762519,0.272727273,0.572241526,0.5,0.93095075,0.636363636,0.035714286,0.071428571,0.295454545,3.203032367,2,0.888047661,,2.5.5
206,801M12641_5/19/16_1,801M12641_05/19/16_1,801M12641_5/19/16,X304,801M12641,5/19/16,1,"Integrated, Macroalgae, Microalgae, Epiphyte",600,147,0,24,36,60,NA,0.550756951,0.848731095,0.526453731,0.5,5.44771404,10,0.289656058,1,0.869666667,0,0.559461332,0.583333333,0.178862265,0.071428571,0.497695261,0.958333333,0.020966476,0.086956522,0.135010465,0.708333333,0.508257425,0.529411765,0.6926364,0.833333333,3.405767519,8,0.312888235,0.823529412,0.357142857,0.690890481,0.823529412,0.285714286,0.746753247,0.823529412,0.142857143,0.854907804,1,0.058823529,0.117647059,0.775862069,14.8234,19,0.56043409,0.24137931,6.097863866,12,0.27990841,0.965517241,0.862566667,0,0.558910193,0.275862069,1.502166667,4,0.434721855,0.396551724,0.017748069,0.086956522,0.102024617,0.293103448,0.514982365,0.529411765,0.709740644,0.586206897,0.058823529,0.117647059,0.344827586,3.521049891,8,0.313761221,,2.5.5
154,519PS0817_4/14/16_1,519PS0817_04/14/16_1,519PS0817_4/14/16,X310,519PS0817,4/14/16,1,"Integrated, Microalgae",600,0,0,14,24,38,NA,1.037029143,0.744762504,0.952609059,0.214285714,5.431838692,0,1,1,2.688566667,1,0.379893225,0.571428571,0.177167878,0.25,0.881773603,0.928571429,0.02245535,0,1,0.642857143,0.54090539,0.666666667,0.421800355,0.642857143,3.324039371,0,1,0.916666667,0.409090909,0.635060947,0.916666667,0.227272727,0.80785124,0.916666667,0.272727273,0.672039825,1,0,0,0.763157895,11.5515,11,0.825449416,0.157894737,5.400230267,3,0.935886737,0.947368421,2.545266667,1,0.404011145,0.210526316,1.236761905,0,1,0.342105263,0.018309541,0,0.999660762,0.236842105,0.532070441,0.666666667,0.403038992,0.631578947,0,0,0.236842105,3.416700497,0,1,,2.5.5
72,403STC064_5/18/16_1,403STC064_05/18/16_1,403STC064_5/18/16,X311,403STC064,5/18/16,1,"Integrated, Microalgae",609,0,0,54,17,71,NA,1.082847279,0.948060964,0.939746143,0.277777778,4.469133372,9,0.291628073,1,1.957533333,3,0.978753264,0.62962963,0.361480253,0.441176471,0.896398396,0.962962963,0.013848736,0,0.954057008,0.740740741,0.568635827,0.425,1,0.814814815,3.744135369,4,0.769555908,0.647058824,0.363636364,0.683911789,0.647058824,0.181818182,0.855371901,0.647058824,0.181818182,0.80004741,1,0.176470588,0.352941176,0.605633803,13.00528571,20,0.402475613,0.211267606,5.501507041,9,0.469822677,1,1.884733333,3,1,0.535211268,1.426533333,3,0.584682257,0.732394366,0.016437505,0,0.980460055,0.563380282,0.569876127,0.425,1,0.23943662,0.176470588,0.352941176,0.61971831,3.367037176,4,0.70248089,,2.5.5
134,514PS0162_8/4/16_1,514PS0162_08/04/16_1,514PS0162_8/4/16,X315,514PS0162,8/4/16,1,"Epiphyte, Integrated, Microalgae, Macroalgae",600,61,0,36,18,54,NA,1.044821026,0.937354148,0.920820042,0.222222222,1.941822791,1,0.795482481,1,0.8211,0,0.570111014,0.583333333,0.51492543,0.523809524,0.745524517,0.888888889,0.05863455,0.03125,1,0.638888889,0.314588202,0.304347826,0.773919924,0.666666667,1.352740387,1,0.833619225,0.722222222,0.230769231,0.826706559,0.722222222,0.153846154,0.884615385,0.722222222,0.153846154,0.83943436,1,0.055555556,0.111111111,0.537037037,5.989,7,0.737869532,0.148148148,2.492502992,1,0.864166291,0.981481481,0.911866667,0,0.547724426,0.388888889,0.3254,2,0.568275353,0.592592593,0.055393954,0.03125,1,0.425925926,0.320805117,0.304347826,0.788572709,0.333333333,0.055555556,0.111111111,0.444444444,0.980843909,1,0.764519252,,2.5.5
153,519PS0790_4/12/16_1,519PS0790_04/12/16_1,519PS0790_4/12/16,X316,519PS0790,4/12/16,1,"Integrated, Microalgae, Macroalgae, Epiphyte",600,6,0,30,30,60,NA,0.968031474,0.72344639,0.681548961,0.333333333,5.52567847,6,0.665102241,1,1.483866667,0,0.42477977,0.6,0.178300722,0.166666667,0.701808093,0.933333333,0.021957366,0,1,0.666666667,0.546474226,0.55,0.738278219,0.7,3.431305413,3,0.841889181,0.766666667,0.391304348,0.654176494,0.766666667,0.260869565,0.772727273,0.766666667,0.304347826,0.627515447,1,0,0,0.716666667,12.41796667,23,0.201402343,0.233333333,5.921582312,10,0.42400224,0.983333333,1.456466667,0,0.424159139,0.333333333,1.788133333,4,0.48111435,0.466666667,0.017907982,0,0.995542134,0.333333333,0.505725501,0.55,0.633567031,0.5,0,0,0.35,3.568357585,3,0.823900135,,2.5.5
