FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Achnanthidium affine,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium alpestre,2,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium atomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium biasolettianum,2,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,FB,NA,M,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium catenatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium deflexum,2,BN,NA,NA,NA,NA,low,low,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium eutrophilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium exiguum,4,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_100,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium exiguum var heterovalvum,4,BN,NA,NA,NA,NA,high,high,NM,NAHON,DO_100,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium gracillimum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium jackii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium kranzii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium macrocephalum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium microcephalum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum,3,BN,NA,NA,NA,NA,low,low,NM,NAHON,DO_100,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum var affinis,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium minutissimum var gracillima,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium pyrenaicum,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium reimeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium rivulare,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium subatomus,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium subhudsonis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium subsalsum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium thienemannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Actinastrum,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,
Actinastrum hantzschii,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Actinastrum,
Actinocyclus,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus,
Actinocyclus normanii,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaeae,Actinocyclus,
Actinotaenium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium,
Actinotaenium colpopelta,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Actinotaenium,
Adlafia,NA,BN,NA,NA,NA,NA,low,low,MM,NA,NA,F,BM,O,NA,NA,NA,F,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia bryophila,2,BN,NA,NA,NA,NA,high,NA,MM,NALON,DO_100,F,OS,M,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia minuscula,3,BN,NA,NA,NA,NA,low,low,MM,NA,NA,F,BM,O,NA,NA,NA,F,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia minuscula var muralis,4,BN,NA,NA,NA,NA,NA,NA,MM,NHHONF,DO_50,FB,AMPS,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Adlafia suchlandtii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Adlafia,
Amphicampa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa,
Amphicampa eruca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa,
Amphipleura,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,
Amphipleura pellucida,3,BN,NA,NA,NA,NA,low,low,MM,NAHON,DO_75,FB,AMPS,OM,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,
Amphora,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora aequalis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora affinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora copulata,4,BN,NA,NA,NA,NA,high,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora copulatoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora inariensis,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,O,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora indistincta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora libyca,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora minutissima,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora ovalis,4,BN,NA,NA,NA,NA,high,NA,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora pediculus,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora perpusilla,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Amphora stoermerii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,
Anabaena,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena aequalis,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena catenula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena cylindrica,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena felisii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena inaequalis,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena iyengarii,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena lapponica,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena oscillarioides,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena planctonica,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena portoricensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena saaremaaensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena sphaerica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena subcylindrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaena variabilis,NA,NA,Yes,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Anabaenopsis,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis,
Anabaenopsis elenkinii,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaenopsis,
Aneumastus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Aneumastus,
Aneumastus tuscula,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Mastogloiaceae,Aneumastus,
Ankistrodesmus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,
Ankistrodesmus falcatus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,
Ankistrodesmus fusiformis,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,
Ankistrodesmus spiralis,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Ankistrodesmus,
Anomoeoneis,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneis costata,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneis sphaerophora,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Anomoeoneis sphaerophora var sculpta,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Anomoeoneis,
Apatococcus,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,
Apatococcus lobatus,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,
Aphanizomenon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,
Aphanizomenon flos-aquae,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,
Aphanocapsa,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa delicatissima,4,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa elachista,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa grevillei,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa holsatica,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa hyalina,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa incerta,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa parasitica,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa planctonica,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanocapsa rivularis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,
Aphanochaete,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,
Aphanochaete polychaete,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,
Aphanochaete repens,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Aphanochaetaceae,Aphanochaete,
Aphanothece,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece caldariorum,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece clathrata,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
Aphanothece elabens,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Aphanothece,
